carat,cut,color,clarity,depth,table,price,x,y,z,volume,price_per_carat
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,38.20203,1417.39
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,34.505856,1552.38
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,38.076885,1421.74
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,46.72458,1151.72
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,51.917249999999996,1080.65
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,38.693951999999996,1400.0
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,38.830870000000004,1400.0
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,42.321081,1296.15
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,36.425214000000004,1531.82
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,38.718,1469.57
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,49.6587,1130.0
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,37.70442,1478.26
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,34.715136,1554.55
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,51.515744999999995,1109.68
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,32.262375,1725.0
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,51.883728000000005,1078.12
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,50.130472,1160.0
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,48.99609000000001,1170.0
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,48.833658,1170.0
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,47.818022,1170.0
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,49.64177999999999,1170.0
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,37.42816,1530.43
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,37.601784,1534.78
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,50.952974,1138.71
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,51.403212,1138.71
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,38.366477,1539.13
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,38.635246,1479.17
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,49.13868,1190.0
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,37.73088,1552.17
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,38.236968000000005,1552.17
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,38.8492,1747.83
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,39.693808,1747.83
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,38.525674,1747.83
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,39.07343999999999,1747.83
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,37.876608,1747.83
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,39.258576,1747.83
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,36.27393,1747.83
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,50.847224999999995,1296.77
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,43.295616,1550.0
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,56.294722,1221.21
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,55.563750000000006,1221.21
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,56.385419999999996,1221.21
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,41.863878,1550.0
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,43.703376000000006,1550.0
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,52.155950000000004,1259.38
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,47.865359999999995,1389.66
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,52.105169999999994,1259.38
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,53.280072000000004,1259.38
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,40.9448,1616.0
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,49.954344000000006,1393.1
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,39.691469999999995,1683.33
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,37.877340000000004,1756.52
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,54.225920000000016,1262.5
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,36.843357000000005,1836.36
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,35.044548,1836.36
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,48.967969999999994,1350.0
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,50.64287399999999,1350.0
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,48.5673,1350.0
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,50.10681600000001,1350.0
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,49.22775000000001,1350.0
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,57.931307999999994,1577.14
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,48.04518600000001,1840.0
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,49.853232000000006,1840.0
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,49.898920000000004,1840.0
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,68.480192,1314.29
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,45.619044,1975.0
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,52.97237399999999,1728.12
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,50.82987,1783.87
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,50.362559999999995,1783.87
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,39.431132,2304.17
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,38.906000000000006,2304.17
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,49.45941,1846.67
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,48.634496000000006,1846.67
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,48.680775000000004,1846.67
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,49.593216000000005,1846.67
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,44.027682,2130.77
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,44.06179500000001,2130.77
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,43.137024000000004,2130.77
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,41.08846499999999,2130.77
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,42.34377,2130.77
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,41.208,2130.77
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,42.007107999999995,2130.77
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,41.455847999999996,2130.77
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,62.32348500000001,1457.89
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,43.94075,2130.77
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,37.9358,2308.33
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,38.746224,2308.33
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,39.23519999999999,2308.33
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,40.449288,2308.33
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,51.420915,1731.25
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,116.39627999999999,3938.57
