carat,cut,color,clarity,depth,table,price,x,y,z,volume,cut_rk,color_rk,clarity_rk
0.35,Premium,G,IF,62.2,58.0,1116,4.52,4.45,2.79,56.12,2,4,1
1.45,Very Good,I,IF,60.6,61.0,9683,7.32,7.41,4.46,241.92,3,6,1
0.35,Ideal,H,IF,61.7,56.0,984,4.55,4.53,2.8,57.71,1,5,1
0.52,Ideal,F,IF,61.7,56.0,2393,5.16,5.18,3.19,85.26,1,3,1
0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,117.37,2,6,1
0.31,Ideal,F,IF,62.3,57.0,821,4.25,4.29,2.66,48.5,1,3,1
0.31,Ideal,H,IF,60.8,57.0,977,4.4,4.38,2.67,51.46,1,5,1
0.3,Good,G,IF,63.5,55.0,895,4.26,4.28,2.71,49.41,4,4,1
1.25,Very Good,F,IF,60.3,58.0,13953,6.96,7.03,4.22,206.48,3,3,1
0.52,Ideal,F,IF,60.3,57.0,2504,5.23,5.28,3.17,87.54,1,3,1
0.3,Ideal,G,IF,62.6,54.0,826,4.3,4.33,2.7,50.27,1,4,1
1.09,Very Good,F,IF,61.1,58.0,10663,6.63,6.69,4.07,180.52,3,3,1
1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54,250.63,2,7,1
1.04,Very Good,F,IF,59.8,56.0,10515,6.64,6.71,3.99,177.77,3,3,1
1.01,Very Good,G,IF,62.8,57.0,8621,6.39,6.42,4.02,164.92,3,4,1
0.44,Ideal,H,IF,61.4,55.0,1177,4.92,4.95,3.03,73.79,1,5,1
1.26,Very Good,F,IF,60.0,60.0,14095,7.04,7.09,4.24,211.63,3,3,1
0.9,Premium,I,IF,62.6,59.0,4516,6.15,6.12,3.84,144.53,2,6,1
0.42,Very Good,I,IF,60.1,58.0,938,4.83,4.88,2.92,68.83,3,6,1
0.31,Ideal,H,IF,61.4,57.0,772,4.36,4.39,2.68,51.3,1,5,1
0.31,Ideal,H,IF,62.0,56.0,772,4.36,4.39,2.71,51.87,1,5,1
1.02,Very Good,E,IF,61.7,60.0,10029,6.38,6.52,3.98,165.56,3,2,1
0.43,Ideal,H,IF,61.9,55.0,1151,4.87,4.89,3.02,71.92,1,5,1
0.4,Ideal,H,IF,61.9,56.0,1153,4.72,4.75,2.93,65.69,1,5,1
0.35,Ideal,H,IF,60.5,56.0,984,4.59,4.56,2.77,57.98,1,5,1
0.4,Ideal,H,IF,62.7,57.0,1158,4.68,4.7,2.94,64.67,1,5,1
0.32,Ideal,J,IF,61.0,57.0,521,4.42,4.46,2.71,53.42,1,7,1
0.38,Ideal,H,IF,60.0,60.0,1064,4.71,4.76,2.84,63.67,1,5,1
0.72,Ideal,J,IF,62.0,55.0,2279,5.74,5.77,3.57,118.24,1,7,1
0.38,Ideal,H,IF,58.9,58.0,1064,4.69,4.81,2.8,63.16,1,5,1
0.44,Ideal,H,IF,61.9,54.0,1177,4.9,4.95,3.05,73.98,1,5,1
0.35,Ideal,G,IF,61.3,56.0,910,4.51,4.53,2.77,56.59,1,4,1
0.39,Very Good,G,IF,63.5,56.0,1271,4.67,4.65,2.96,64.28,3,4,1
0.7,Very Good,G,IF,58.5,60.0,3543,5.83,5.87,3.42,117.04,3,4,1
1.01,Very Good,F,IF,59.2,60.0,10800,6.48,6.59,3.87,165.26,3,3,1
1.01,Very Good,F,IF,61.9,59.0,10476,6.38,6.45,3.97,163.37,3,3,1
0.28,Ideal,G,IF,62.4,55.0,650,4.17,4.2,2.61,45.71,1,4,1
0.28,Ideal,G,IF,60.9,57.0,650,4.24,4.27,2.59,46.89,1,4,1
1.2,Very Good,F,IF,62.3,60.0,12905,6.74,6.8,4.22,193.41,3,3,1
0.59,Very Good,G,IF,60.9,57.0,2611,5.38,5.42,3.29,95.94,3,4,1
0.35,Ideal,H,IF,61.7,56.0,921,4.53,4.55,2.8,57.71,1,5,1
1.05,Very Good,F,IF,59.7,55.0,11417,6.66,6.73,4.0,179.29,3,3,1
0.33,Ideal,H,IF,60.6,57.0,959,4.51,4.5,2.73,55.41,1,5,1
0.46,Premium,I,IF,59.4,60.0,1208,5.04,5.02,2.99,75.65,2,6,1
1.14,Very Good,E,IF,63.3,57.0,12647,6.63,6.71,4.22,187.74,3,2,1
1.06,Very Good,E,IF,62.4,55.0,12642,6.5,6.54,4.07,173.02,3,2,1
1.09,Very Good,F,IF,61.4,56.0,11631,6.62,6.68,4.08,180.42,3,3,1
0.33,Ideal,H,IF,60.5,56.0,959,4.54,4.52,2.74,56.23,1,5,1
1.02,Very Good,E,IF,63.5,58.0,10710,6.43,6.33,4.05,164.84,3,2,1
1.0,Very Good,E,IF,62.5,55.0,11214,6.28,6.39,3.96,158.91,3,2,1
0.33,Ideal,H,IF,61.0,55.0,959,4.5,4.49,2.74,55.36,1,5,1
0.28,Ideal,F,IF,62.4,55.0,828,4.2,4.17,2.61,45.71,1,3,1
0.36,Ideal,H,IF,60.6,56.0,980,4.64,4.66,2.82,60.98,1,5,1
0.35,Ideal,H,IF,60.8,56.0,931,4.61,4.63,2.81,59.98,1,5,1
0.32,Ideal,G,IF,61.7,54.0,918,4.39,4.42,2.72,52.78,1,4,1
0.35,Ideal,H,IF,61.9,55.0,984,4.54,4.51,2.8,57.33,1,5,1
0.41,Ideal,H,IF,61.1,54.0,1099,4.8,4.85,2.95,68.68,1,5,1
0.56,Ideal,D,IF,60.8,58.0,4632,5.35,5.31,3.24,92.04,1,1,1
1.0,Very Good,E,IF,63.1,56.0,10954,6.32,6.39,4.01,161.94,3,2,1
0.3,Good,G,IF,63.8,55.0,895,4.24,4.28,2.72,49.36,4,4,1
1.02,Very Good,E,IF,58.1,59.0,11420,6.71,6.75,3.91,177.09,3,2,1
1.06,Very Good,G,IF,61.2,57.0,8415,6.52,6.56,4.0,171.08,3,4,1
0.53,Ideal,F,IF,62.4,55.0,2447,5.2,5.19,3.24,87.44,1,3,1
0.34,Ideal,H,IF,60.8,56.0,988,4.56,4.55,2.77,57.47,1,5,1
0.35,Very Good,G,IF,62.1,56.0,833,4.54,4.57,2.82,58.51,3,4,1
1.38,Very Good,F,IF,58.2,60.0,17598,7.32,7.39,4.28,231.53,3,3,1
1.04,Very Good,E,IF,63.6,58.0,11269,6.41,6.43,4.08,168.16,3,2,1
0.28,Ideal,F,IF,62.0,53.0,825,4.23,4.29,2.64,47.91,1,3,1
0.42,Ideal,H,IF,61.0,56.0,1135,4.79,4.82,2.93,67.65,1,5,1
0.36,Ideal,H,IF,61.3,57.0,1163,4.59,4.61,2.82,59.67,1,5,1
0.52,Ideal,F,IF,60.3,60.0,2427,5.24,5.27,3.17,87.54,1,3,1
0.32,Ideal,G,IF,61.9,54.0,918,4.4,4.42,2.73,53.09,1,4,1
0.32,Ideal,G,IF,61.6,55.0,918,4.42,4.45,2.73,53.7,1,4,1
0.28,Very Good,F,IF,59.8,56.0,787,4.27,4.29,2.56,46.89,3,3,1
0.53,Ideal,I,IF,62.1,55.0,1654,5.18,5.22,3.23,87.34,1,6,1
0.7,Very Good,E,IF,60.3,59.0,4679,5.72,5.76,3.46,114.0,3,2,1
0.4,Very Good,G,IF,61.0,59.0,1154,4.75,4.79,2.91,66.21,3,4,1
0.27,Very Good,E,IF,59.7,56.0,760,4.26,4.28,2.55,46.49,3,2,1
1.04,Very Good,G,IF,61.7,58.0,8225,6.47,6.6,4.03,172.09,3,4,1
0.43,Premium,I,IF,61.2,58.0,1056,4.83,4.88,2.97,70.0,2,6,1
0.34,Ideal,H,IF,61.7,55.0,863,4.5,4.54,2.79,57.0,1,5,1
0.73,Ideal,H,IF,61.4,59.0,3429,5.77,5.83,3.56,119.76,1,5,1
0.34,Ideal,H,IF,61.8,54.0,863,4.51,4.55,2.8,57.46,1,5,1
1.51,Good,G,IF,62.8,60.0,14654,7.18,7.24,4.53,235.48,4,4,1
0.3,Very Good,G,IF,62.6,56.0,863,4.27,4.29,2.68,49.09,3,4,1
0.36,Very Good,E,IF,59.5,57.0,1053,4.68,4.73,2.8,61.98,3,2,1
1.5,Very Good,F,IF,63.2,58.0,18552,7.2,7.32,4.59,241.91,3,3,1
1.02,Very Good,F,IF,62.5,58.0,10967,6.39,6.54,4.04,168.83,3,3,1
0.71,Premium,F,IF,61.1,58.0,3578,5.8,5.72,3.52,116.78,2,3,1
0.31,Ideal,G,IF,61.5,57.0,840,4.35,4.37,2.68,50.95,1,4,1
0.53,Ideal,H,IF,61.4,55.0,2059,5.21,5.24,3.21,87.63,1,5,1
0.25,Very Good,F,IF,61.1,54.0,633,4.08,4.11,2.5,41.92,3,3,1
0.34,Ideal,H,IF,62.0,53.0,863,4.49,4.51,2.79,56.5,1,5,1
1.07,Very Good,F,IF,59.4,59.0,11019,6.64,6.7,3.96,176.17,3,3,1
0.25,Premium,F,IF,61.1,58.0,740,4.1,4.08,2.5,41.82,2,3,1
0.34,Ideal,H,IF,61.9,53.0,863,4.5,4.52,2.79,56.75,1,5,1
1.32,Very Good,F,IF,62.4,58.0,14842,6.97,7.01,4.36,213.03,3,3,1
0.74,Very Good,J,IF,60.3,58.0,2277,5.82,5.86,3.52,120.05,3,7,1
0.3,Very Good,E,IF,60.1,60.0,1026,4.3,4.32,2.59,48.11,3,2,1
0.35,Very Good,E,IF,57.9,56.0,1025,4.71,4.75,2.74,61.3,3,2,1
0.34,Ideal,H,IF,61.7,56.0,863,4.5,4.51,2.78,56.42,1,5,1
0.34,Ideal,H,IF,61.6,54.0,863,4.49,4.53,2.78,56.54,1,5,1
0.27,Ideal,G,IF,61.0,56.0,672,4.17,4.19,2.55,44.55,1,4,1
0.3,Premium,I,IF,60.5,59.0,810,4.34,4.32,2.62,49.12,2,6,1
0.31,Good,G,IF,63.9,58.0,924,4.27,4.3,2.74,50.31,4,4,1
0.29,Very Good,F,IF,59.9,56.0,815,4.35,4.37,2.61,49.61,3,3,1
1.02,Very Good,G,IF,62.3,59.0,8624,6.36,6.45,3.99,163.68,3,4,1
0.41,Ideal,H,IF,61.8,55.0,1100,4.79,4.82,2.97,68.57,1,5,1
0.53,Ideal,F,IF,61.3,57.0,2658,5.19,5.21,3.19,86.26,1,3,1
1.1,Very Good,G,IF,60.5,55.0,8592,6.77,6.71,4.08,185.34,3,4,1
0.33,Ideal,H,IF,62.1,55.0,1114,4.44,4.41,2.75,53.85,1,5,1
0.57,Ideal,F,IF,61.3,56.0,2656,5.32,5.36,3.28,93.53,1,3,1
0.3,Ideal,G,IF,62.2,55.0,844,4.3,4.32,2.68,49.78,1,4,1
0.54,Very Good,G,IF,62.5,58.0,2128,5.19,5.27,3.27,89.44,3,4,1
0.43,Very Good,G,IF,62.7,58.0,1286,4.8,4.84,3.02,70.16,3,4,1
0.42,Ideal,H,IF,61.6,56.0,1126,4.84,4.87,2.99,70.48,1,5,1
0.32,Ideal,H,IF,61.1,56.0,1116,4.46,4.45,2.72,53.98,1,5,1
1.53,Good,H,IF,63.1,57.0,13248,7.25,7.34,4.6,244.79,4,5,1
0.35,Ideal,H,IF,61.7,54.0,1103,4.55,4.53,2.8,57.71,1,5,1
0.51,Ideal,F,IF,62.4,55.0,2524,5.11,5.14,3.2,84.05,1,3,1
0.33,Ideal,H,IF,61.9,55.0,1114,4.44,4.42,2.74,53.77,1,5,1
0.35,Ideal,H,IF,61.9,55.0,921,4.51,4.54,2.8,57.33,1,5,1
0.3,Ideal,G,IF,61.0,56.0,844,4.34,4.37,2.65,50.26,1,4,1
0.36,Ideal,H,IF,61.9,57.0,947,4.55,4.6,2.83,59.23,1,5,1
0.32,Ideal,G,IF,62.1,53.0,918,4.41,4.44,2.75,53.85,1,4,1
0.32,Ideal,G,IF,61.3,55.0,918,4.43,4.47,2.73,54.06,1,4,1
0.43,Ideal,J,IF,62.4,56.0,952,4.87,4.84,3.03,71.42,1,7,1
0.32,Ideal,G,IF,62.3,53.0,918,4.41,4.45,2.76,54.16,1,4,1
0.32,Ideal,G,IF,61.0,56.0,918,4.43,4.45,2.71,53.42,1,4,1
0.25,Very Good,E,IF,61.3,56.0,633,4.1,4.13,2.53,42.84,3,2,1
0.3,Ideal,G,IF,61.8,57.0,844,4.28,4.31,2.65,48.88,1,4,1
0.35,Ideal,H,IF,60.5,56.0,921,4.56,4.59,2.77,57.98,1,5,1
0.76,Very Good,E,IF,61.9,56.0,4798,5.83,5.85,3.62,123.46,3,2,1
0.27,Ideal,F,IF,61.8,55.0,796,4.16,4.19,2.58,44.97,1,3,1
0.39,Good,G,IF,63.5,56.0,1213,4.65,4.67,2.96,64.28,4,4,1
0.46,Ideal,H,IF,62.2,55.0,1450,4.94,4.99,3.09,76.17,1,5,1
0.31,Good,G,IF,63.9,58.0,988,4.3,4.27,2.74,50.31,4,4,1
0.33,Good,G,IF,57.9,60.0,984,4.55,4.57,2.64,54.89,4,4,1
0.32,Ideal,G,IF,61.0,56.0,918,4.41,4.44,2.7,52.87,1,4,1
0.28,Ideal,G,IF,61.5,57.0,650,4.19,4.21,2.58,45.51,1,4,1
0.33,Good,G,IF,57.9,60.0,1052,4.57,4.55,2.64,54.89,4,4,1
1.16,Ideal,J,IF,60.6,56.0,5519,6.79,6.86,4.14,192.84,1,7,1
0.32,Ideal,G,IF,61.3,56.0,918,4.4,4.44,2.71,52.94,1,4,1
0.4,Ideal,I,IF,62.4,54.0,917,4.73,4.75,2.96,66.5,1,6,1
0.71,Premium,G,IF,62.0,58.0,3642,5.67,5.72,3.53,114.49,2,4,1
0.44,Ideal,H,IF,62.0,57.0,1255,4.87,4.91,3.02,72.21,1,5,1
0.43,Ideal,H,IF,62.2,55.0,1245,4.84,4.87,3.02,71.18,1,5,1
0.54,Ideal,F,IF,62.2,54.0,2729,5.24,5.27,3.27,90.3,1,3,1
0.51,Ideal,F,IF,62.5,54.0,2730,5.12,5.16,3.21,84.81,1,3,1
0.52,Ideal,F,IF,60.6,57.0,2575,5.21,5.22,3.16,85.94,1,3,1
0.3,Ideal,I,IF,62.5,56.0,615,4.26,4.28,2.67,48.68,1,6,1
0.42,Ideal,H,IF,62.4,57.0,1201,4.79,4.82,2.99,69.03,1,5,1
0.3,Ideal,I,IF,62.0,57.0,615,4.28,4.3,2.66,48.95,1,6,1
0.52,Ideal,G,IF,61.7,56.0,2267,5.15,5.19,3.19,85.26,1,4,1
0.73,Ideal,H,IF,62.2,54.0,3301,5.76,5.82,3.6,120.68,1,5,1
0.32,Ideal,I,IF,60.8,54.0,864,4.47,4.44,2.71,53.78,1,6,1
0.36,Ideal,H,IF,61.9,57.0,1013,4.6,4.55,2.83,59.23,1,5,1
0.7,Ideal,H,IF,61.3,59.0,3309,5.69,5.72,3.5,113.91,1,5,1
0.27,Ideal,H,IF,61.6,56.0,566,4.18,4.21,2.58,45.4,1,5,1
0.31,Premium,G,IF,61.4,59.0,988,4.39,4.34,2.68,51.06,2,4,1
0.31,Premium,G,IF,61.6,55.0,988,4.42,4.38,2.71,52.46,2,4,1
0.28,Ideal,F,IF,62.6,53.0,787,4.18,4.19,2.62,45.89,1,3,1
0.35,Ideal,G,IF,61.4,55.0,1044,4.56,4.59,2.81,58.81,1,4,1
0.35,Ideal,G,IF,61.1,56.0,1044,4.54,4.59,2.79,58.14,1,4,1
0.38,Premium,G,IF,62.5,60.0,1227,4.64,4.61,2.89,61.82,2,4,1
0.42,Ideal,H,IF,61.9,56.0,1216,4.79,4.81,2.97,68.43,1,5,1
0.35,Ideal,G,IF,62.3,55.0,1044,4.5,4.52,2.81,57.16,1,4,1
0.43,Very Good,I,IF,61.0,56.0,998,4.9,4.93,3.0,72.47,3,6,1
1.02,Premium,G,IF,61.8,59.0,8489,6.41,6.46,3.98,164.81,2,4,1
0.71,Ideal,H,IF,61.6,55.0,3290,5.75,5.78,3.55,117.98,1,5,1
0.72,Ideal,H,IF,62.1,58.0,3283,5.72,5.75,3.56,117.09,1,5,1
0.71,Ideal,H,IF,61.1,56.0,3290,5.74,5.78,3.52,116.78,1,5,1
0.36,Good,E,IF,57.7,54.0,1053,4.74,4.79,2.75,62.44,4,2,1
0.61,Ideal,G,IF,62.3,56.0,2659,5.42,5.46,3.39,100.32,1,4,1
0.39,Ideal,G,IF,60.1,57.0,1624,4.74,4.77,2.85,64.44,1,4,1
0.44,Ideal,H,IF,61.5,56.0,1185,4.89,4.93,3.02,72.81,1,5,1
0.41,Ideal,H,IF,61.8,55.0,1187,4.76,4.79,2.95,67.26,1,5,1
0.24,Ideal,H,IF,62.1,57.0,504,4.0,4.04,2.5,40.4,1,5,1
0.24,Ideal,H,IF,62.5,54.0,504,3.97,4.0,2.49,39.54,1,5,1
0.3,Ideal,H,IF,62.3,54.0,764,4.34,4.36,2.71,51.28,1,5,1
1.02,Ideal,E,IF,62.2,56.0,12030,6.44,6.38,3.99,163.94,1,2,1
0.3,Ideal,E,IF,62.0,54.0,943,4.31,4.34,2.68,50.13,1,2,1
0.72,Ideal,H,IF,61.4,56.0,3257,5.76,5.8,3.55,118.6,1,5,1
1.28,Ideal,E,IF,60.7,57.0,18700,7.09,6.99,4.27,211.62,1,2,1
0.3,Ideal,H,IF,60.8,56.0,764,4.36,4.39,2.66,50.91,1,5,1
0.36,Premium,I,IF,59.9,59.0,972,4.63,4.58,2.76,58.53,2,6,1
0.3,Ideal,E,IF,61.7,55.0,943,4.31,4.34,2.67,49.94,1,2,1
0.32,Ideal,E,IF,62.0,55.0,944,4.37,4.41,2.72,52.42,1,2,1
0.3,Ideal,H,IF,61.8,57.0,764,4.31,4.36,2.68,50.36,1,5,1
0.67,Ideal,G,IF,61.6,55.0,3271,5.61,5.65,3.47,109.99,1,4,1
0.4,Ideal,H,IF,61.9,55.0,1074,4.76,4.77,2.95,66.98,1,5,1
0.3,Ideal,E,IF,62.6,53.0,943,4.29,4.33,2.7,50.15,1,2,1
0.31,Premium,G,IF,61.0,59.0,988,4.36,4.33,2.65,50.03,2,4,1
0.24,Ideal,H,IF,61.8,54.0,504,3.99,4.03,2.47,39.72,1,5,1
0.54,Very Good,I,IF,58.8,61.0,1708,5.29,5.35,3.13,88.58,3,6,1
0.32,Ideal,G,IF,61.8,55.0,918,4.42,4.45,2.74,53.89,1,4,1
0.41,Ideal,H,IF,62.1,56.0,1187,4.74,4.76,2.95,66.56,1,5,1
0.37,Ideal,G,IF,62.4,56.0,1033,4.6,4.64,2.88,61.47,1,4,1
0.4,Ideal,F,IF,60.9,57.0,1583,4.81,4.84,2.94,68.44,1,3,1
0.52,Ideal,F,IF,61.7,57.0,2733,5.13,5.17,3.18,84.34,1,3,1
0.41,Ideal,H,IF,62.1,56.0,1243,4.76,4.74,2.95,66.56,1,5,1
0.4,Ideal,H,IF,62.7,57.0,1238,4.7,4.68,2.94,64.67,1,5,1
0.41,Ideal,H,IF,62.9,54.0,1243,4.74,4.71,2.97,66.31,1,5,1
0.41,Ideal,H,IF,61.8,55.0,1243,4.79,4.76,2.95,67.26,1,5,1
0.32,Very Good,F,IF,61.7,55.0,921,4.4,4.41,2.72,52.78,3,3,1
0.62,Ideal,G,IF,62.2,54.0,2655,5.46,5.51,3.41,102.59,1,4,1
0.37,Very Good,F,IF,60.4,57.0,995,4.65,4.68,2.81,61.15,3,3,1
0.32,Ideal,G,IF,61.0,57.0,918,4.44,4.48,2.72,54.1,1,4,1
0.33,Premium,G,IF,59.4,59.0,853,4.49,4.54,2.68,54.63,2,4,1
1.03,Very Good,F,IF,62.8,57.0,10032,6.4,6.47,4.04,167.29,3,3,1
0.29,Ideal,G,IF,60.6,57.0,673,4.28,4.31,2.6,47.96,1,4,1
0.31,Premium,G,IF,61.7,54.0,988,4.36,4.33,2.68,50.6,2,4,1
0.93,Ideal,G,IF,62.2,58.0,5879,6.25,6.22,3.88,150.84,1,4,1
1.09,Very Good,G,IF,62.9,57.0,8650,6.52,6.58,4.12,176.75,3,4,1
0.38,Very Good,I,IF,59.5,57.0,988,4.72,4.76,2.82,63.36,3,6,1
1.0,Very Good,F,IF,63.2,63.0,10046,6.26,6.24,3.95,154.3,3,3,1
0.28,Ideal,F,IF,61.4,57.0,787,4.22,4.25,2.6,46.63,1,3,1
0.41,Very Good,J,IF,60.8,56.0,651,4.83,4.87,2.95,69.39,3,7,1
1.04,Very Good,G,IF,60.7,58.0,8655,6.52,6.65,4.0,173.43,3,4,1
0.76,Premium,F,IF,60.6,60.0,4150,5.89,5.85,3.56,122.67,2,3,1
0.28,Ideal,F,IF,61.9,56.0,787,4.18,4.21,2.59,45.58,1,3,1
0.37,Ideal,J,IF,61.9,54.0,601,4.63,4.68,2.88,62.4,1,7,1
0.6,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35,99.32,3,4,1
0.3,Very Good,G,IF,61.4,59.0,831,4.27,4.3,2.63,48.29,3,4,1
0.71,Good,G,IF,57.8,62.0,3583,5.82,5.95,3.4,117.74,4,4,1
0.3,Premium,F,IF,61.6,58.0,1013,4.35,4.32,2.67,50.17,2,3,1
0.3,Premium,F,IF,60.7,58.0,1013,4.37,4.33,2.64,49.95,2,3,1
0.46,Ideal,H,IF,62.3,54.0,1382,4.94,4.98,3.09,76.02,1,5,1
0.72,Very Good,G,IF,60.7,56.0,3614,5.78,5.81,3.52,118.21,3,4,1
0.31,Premium,F,IF,61.5,58.0,979,4.33,4.35,2.67,50.29,2,3,1
0.3,Very Good,G,IF,62.3,55.0,850,4.31,4.33,2.69,50.2,3,4,1
0.43,Ideal,H,IF,62.2,55.0,1304,4.87,4.84,3.02,71.18,1,5,1
1.15,Very Good,E,IF,59.2,57.0,12895,6.78,6.86,4.04,187.9,3,2,1
0.28,Ideal,G,IF,61.3,57.0,650,4.25,4.27,2.6,47.18,1,4,1
0.42,Ideal,H,IF,61.9,56.0,1273,4.81,4.79,2.97,68.43,1,5,1
1.06,Very Good,E,IF,62.7,58.0,11518,6.48,6.54,4.08,172.91,3,2,1
0.37,Ideal,H,IF,61.8,55.0,936,4.65,4.67,2.88,62.54,1,5,1
1.07,Very Good,E,IF,58.6,63.0,11475,6.7,6.79,3.95,179.7,3,2,1
0.5,Ideal,F,IF,60.6,58.0,2529,5.13,5.16,3.12,82.59,1,3,1
0.76,Premium,F,IF,60.6,60.0,4223,5.85,5.89,3.56,122.67,2,3,1
0.41,Premium,F,IF,62.6,58.0,1439,4.73,4.76,2.97,66.87,2,3,1
0.41,Ideal,F,IF,61.1,58.0,1621,4.82,4.84,2.95,68.82,1,3,1
